10100234;2026-01-23 10:58:00;2026-01-23 11:58:00;123
10100234;2026-01-23 22:59:00;23:15;;NVA1234,TTB1235
10100234;2026-01-23 11:11:00;2026-01-23 11:18:00;123
10100234;2026-01-23 23:12:00;2026-01-23 23:18:00;123;NVA1234,TTB1235
10100234;2026-01-23 23:18:00;2026-01-23 23:30:00;123;NVA1234
10100234;2026-01-24 19:42:00;2026-01-24 ;123;LMC1236,VVD1238
10100234;2026-01-24 19:48:00;2026-01-24 20:00:00;123;NVA1234
10100234;2026-01-24 20:08:00;2026-01-24 20:19:00;;NVA1234
10100234;2026-01-24 21:34:00;2026-01-24 21:36:00;123
10100234;2026-01-25 00:00:00;2026-01-25 00:15:00;1234;NVA1234,kjfjhd123
10100234;2026-01-25 00:44:00;2026-01-25 00:50:00;123;NVA1234
10100234;2026-01-25 00:50:00;2026-01-25 01:10:00;123;NVA1234,TTB1235
10100234;2026-01-25 01:33:00;2026-01-25 02:00:00;1234;NVA1234
